As Of;Currency;NAV per Share;Shares Outstanding;Total Net Assets;Fund Return Series;Benchmark Return Series
17/Jul/2024;EUR;5.90;3’209’960.00;18’948’917.12;118.65;117.95
16/Jul/2024;EUR;5.94;3’187’050.00;18’940’248.18;119.45;118.75
15/Jul/2024;EUR;5.96;3’187’050.00;18’981’696.94;119.71;119.01
12/Jul/2024;EUR;6.02;3’153’590.00;18’981’146.75;120.98;120.28
11/Jul/2024;EUR;5.97;3’136’170.00;18’712’357.17;119.93;119.23
10/Jul/2024;EUR;5.92;3’109’560.00;18’408’911.15;118.99;118.29
09/Jul/2024;EUR;5.86;3’091’330.00;18’121’199.34;117.82;117.13
08/Jul/2024;EUR;5.91;4’091’330.00;24’199’869.55;118.89;118.19
05/Jul/2024;EUR;5.91;4’091’330.00;24’199’113.11;118.89;118.19
04/Jul/2024;EUR;5.92;4’091’330.00;24’220’359.68;118.99;118.29
03/Jul/2024;EUR;5.89;4’091’330.00;24’099’730.63;118.40;117.69
02/Jul/2024;EUR;5.85;4’091’330.00;23’926’992.74;117.55;116.85
01/Jul/2024;EUR;5.88;4’091’330.00;24’049’049.99;118.15;117.44
28/Jun/2024;EUR;5.87;4’091’330.00;23’997’059.86;117.89;117.20
27/Jun/2024;EUR;5.88;4’091’330.00;24’069’455.74;118.25;117.55
26/Jun/2024;EUR;5.91;4’091’330.00;24’196’576.44;118.87;118.17
25/Jun/2024;EUR;5.94;4’091’330.00;24’313’068.34;119.45;118.74
24/Jun/2024;EUR;5.95;4’091’330.00;24’353’573.41;119.64;118.94
21/Jun/2024;EUR;5.92;4’091’330.00;24’203’939.31;118.91;118.22
20/Jun/2024;EUR;5.96;4’091’330.00;24’377’461.55;119.76;119.07
19/Jun/2024;EUR;5.90;4’091’330.00;24’125’245.01;118.52;117.84
18/Jun/2024;EUR;5.91;4’091’330.00;24’199’675.01;118.89;118.20
17/Jun/2024;EUR;5.87;4’091’330.00;24’014’017.58;117.98;117.29
14/Jun/2024;EUR;5.87;4’091’330.00;24’022’495.41;118.02;117.33
13/Jun/2024;EUR;5.93;4’091’330.00;24’244’717.88;119.11;118.42
12/Jun/2024;EUR;6.00;5’091’330.00;30’552’561.23;120.62;119.91
11/Jun/2024;EUR;5.92;4’762’455.00;28’193’658.41;118.99;118.30
10/Jun/2024;EUR;5.98;4’762’455.00;28’456’187.44;120.10;119.40
07/Jun/2024;EUR;5.99;4’762’455.00;28’535’562.85;120.43;119.74
06/Jun/2024;EUR;6.01;4’762’455.00;28’615’781.73;120.77;120.07
05/Jun/2024;EUR;5.97;4’762’455.00;28’428’265.49;119.98;119.28
04/Jun/2024;EUR;5.91;4’762’455.00;28’159’624.42;118.85;118.15
03/Jun/2024;EUR;5.93;4’762’455.00;28’224’214.93;119.12;118.42
31/May/2024;EUR;5.90;4’762’455.00;28’113’569.83;118.65;117.95
30/May/2024;EUR;5.89;4’762’455.00;28’046’234.91;118.37;117.67
29/May/2024;EUR;5.86;4’762’455.00;27’891’924.77;117.72;117.03
28/May/2024;EUR;5.92;4’762’455.00;28’199’453.45;119.02;118.32
24/May/2024;EUR;5.93;4’762’455.00;28’263’946.54;119.29;118.61
23/May/2024;EUR;5.95;4’762’455.00;28’321’192.69;119.53;118.84
22/May/2024;EUR;5.94;4’762’455.00;28’287’560.83;119.39;118.69
21/May/2024;EUR;5.95;4’762’455.00;28’353’714.27;119.67;118.98
20/May/2024;EUR;5.96;4’762’455.00;28’368’015.70;119.73;119.04
17/May/2024;EUR;5.94;4’762’455.00;28’287’092.64;119.39;118.72
16/May/2024;EUR;5.96;4’762’455.00;28’386’542.92;119.81;119.13
15/May/2024;EUR;5.96;4’762’455.00;28’403’002.05;119.87;119.20
14/May/2024;EUR;5.92;4’762’455.00;28’182’883.78;118.95;118.27
13/May/2024;EUR;5.91;4’762’455.00;28’128’154.02;118.71;118.04
10/May/2024;EUR;5.90;4’762’455.00;28’094’778.86;118.57;117.92
09/May/2024;EUR;5.85;4’762’455.00;27’860’374.82;117.58;116.93
08/May/2024;EUR;5.83;4’762’455.00;27’784’634.00;117.26;116.63
07/May/2024;EUR;5.80;4’762’455.00;27’645’602.27;116.68;116.03
03/May/2024;EUR;5.70;4’762’455.00;27’146’026.77;114.57;113.95
02/May/2024;EUR;5.66;4’762’455.00;26’946’214.89;113.73;113.11
01/May/2024;EUR;5.66;4’762’455.00;26’970’346.05;113.83;113.21
30/Apr/2024;EUR;5.67;4’762’455.00;27’003’952.55;113.97;113.36
29/Apr/2024;EUR;5.70;4’762’455.00;27’122’802.73;114.47;113.88
26/Apr/2024;EUR;5.69;4’762’455.00;27’098’539.13;114.37;113.79
25/Apr/2024;EUR;5.61;4’762’455.00;26’732’261.76;112.82;112.27
24/Apr/2024;EUR;5.65;1’762’455.00;9’963’860.67;113.63;113.09
23/Apr/2024;EUR;5.68;1’762’455.00;10’013’948.62;114.20;113.65
22/Apr/2024;EUR;5.62;1’762’455.00;9’896’518.95;112.86;112.33
19/Apr/2024;EUR;5.58;1’762’455.00;9’834’027.28;112.15;111.64
18/Apr/2024;EUR;5.58;1’762’455.00;9’840’241.40;112.22;111.71
17/Apr/2024;EUR;5.56;1’815’619.00;10’101’087.18;111.82;111.31
16/Apr/2024;EUR;5.57;1’815’619.00;10’108’694.58;111.91;111.40
15/Apr/2024;EUR;5.64;1’815’619.00;10’245’041.21;113.42;112.91
12/Apr/2024;EUR;5.63;1’815’619.00;10’223’610.74;113.18;112.67
